,,,,,,,,,,,,,,,
,,,,연료별 차종별 용도별 등록현황,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
자동차관리 시스템,,,,,,,,,,,,,,,
PROG_ID     :,,STA029Q,,,,,,,,,Page No. :,,,1,
통계기준월  :,,202202,,,,,,,,,출력일자 :,,,2022-03-16 16:00:40,
시군구별,,,연료별,,,용도별,승    용,승    합,화    물,,,특    수,,,계
합 계,,,계,,,계,2743620,99542,326132,,,10034,,,3179328
종로구,,,CNG,,,비사업용,8,4,21,,,0,,,33
,,,CNG,,,사업용,0,86,0,,,0,,,86
,,,경유,,,비사업용,10172,3017,3709,,,136,,,17034
,,,경유,,,사업용,346,161,657,,,67,,,1231
,,,기타연료,,,비사업용,1,30,55,,,28,,,114
,,,기타연료,,,사업용,0,0,94,,,0,,,94
,,,수소,,,비사업용,68,4,0,,,0,,,72
,,,엘피지,,,비사업용,1452,196,255,,,0,,,1903
,,,엘피지,,,사업용,342,2,113,,,0,,,457
,,,전기,,,비사업용,483,1,38,,,0,,,522
,,,전기,,,사업용,59,6,25,,,0,,,90
,,,하이브리드(LPG+전기),,,비사업용,29,0,0,,,0,,,29
,,,하이브리드(경유+전기),,,비사업용,34,0,0,,,0,,,34
,,,하이브리드(휘발유+전기),,,비사업용,2303,0,0,,,0,,,2303
,,,하이브리드(휘발유+전기),,,사업용,99,0,0,,,0,,,99
,,,휘발유,,,비사업용,10880,35,70,,,1,,,10986
,,,휘발유,,,사업용,17,0,0,,,0,,,17
,,,휘발유(무연),,,비사업용,15245,31,14,,,1,,,15291
,,,휘발유(무연),,,사업용,476,1,0,,,0,,,477
,,,휘발유(유연),,,비사업용,11,0,0,,,0,,,11
중구,,,CNG,,,비사업용,9,1,12,,,0,,,22
,,,CNG,,,사업용,0,13,0,,,0,,,13
중구,,,경유,,,비사업용,14089,2030,4515,,,87,,,20721
,,,경유,,,사업용,619,248,1627,,,126,,,2620
,,,기타연료,,,비사업용,4,25,86,,,30,,,145
,,,기타연료,,,사업용,0,0,144,,,0,,,144
,,,수소,,,비사업용,38,0,0,,,0,,,38
,,,엘피지,,,비사업용,1295,465,358,,,0,,,2118
,,,엘피지,,,사업용,727,1,52,,,0,,,780
,,,전기,,,비사업용,586,3,54,,,0,,,643
,,,전기,,,사업용,268,0,57,,,0,,,325
,,,하이브리드(LPG+전기),,,비사업용,22,0,0,,,0,,,22
,,,하이브리드(경유+전기),,,비사업용,92,0,0,,,0,,,92
,,,하이브리드(경유+전기),,,사업용,3,0,0,,,0,,,3
,,,하이브리드(휘발유+전기),,,비사업용,2425,0,0,,,0,,,2425
,,,하이브리드(휘발유+전기),,,사업용,150,0,0,,,0,,,150
,,,휘발유,,,비사업용,15524,28,43,,,0,,,15595
